"word1","word2","2009-2011","2012","2013","2014","2015","2016","2017","2018","2019"
"all","that",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"using","data",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"science","to",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"to","better",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"better","predict",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"predict","demand",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"demand","case",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"case","from",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"from","twitter",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"twitter","and",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"the","flu",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"flu","season",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"heat","maps",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"maps","track",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"track","customers",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"machine","learning",NA,NA,NA,NA,0.607677486290203,0.651931944665289,0.909988099039215,0.978595597460366,0.998748263677992
"a","data",NA,NA,NA,NA,0.32607084630206,0.318015582763555,0.298975356303155,0.345207770976695,0.343831369462915
"of","data",NA,NA,NA,NA,0.266785237883504,0.260772777866115,0.294621346259905,0.185530167661483,0.239255929902766
"for","data",NA,NA,NA,NA,0.207499629464947,0.139926856415964,0.175611738411077,0.262327491160704,0.284149426683638
"apache","spark",NA,NA,NA,NA,0.207499629464947,NA,NA,NA,NA
"and","more",NA,NA,NA,NA,0.192678227360308,0.08586420734616,NA,NA,NA
"in","data",NA,NA,NA,NA,0.177856825255669,0.149467323898871,0.153841688194827,0.16804166825077,0.176933193195202
"the","programmable",NA,NA,NA,NA,0.177856825255669,NA,NA,NA,NA
"astronomer","update",NA,NA,NA,NA,0.177856825255669,NA,NA,NA,NA
"more","in",NA,NA,NA,NA,0.16303542315103,NA,NA,NA,NA
"data","analytics",NA,NA,NA,NA,0.148214021046391,0.152647479726507,0.136425648021828,0.115576170018629,0.109328868631065
"data","is",NA,NA,NA,NA,0.148214021046391,0.08586420734616,0.0711154973730806,NA,NA
"programmable","edition",NA,NA,NA,NA,0.148214021046391,NA,NA,NA,NA
"to","data",NA,NA,NA,NA,0.148214021046391,0.120845921450151,0.0754695074163304,0.130023191270958,0.0929559462756883
"in","a",NA,NA,NA,NA,0.133392618941752,0.08586420734616,0.0928855475893298,0.0783180625784131,0.092427787490031
"data","and",NA,NA,NA,NA,0.133392618941752,0.124026077277787,0.119009607848829,0.0714747367220469,NA
"predictive","analytics",NA,NA,NA,NA,0.133392618941752,0.0826840515185244,NA,NA,NA
"for","the",NA,NA,NA,NA,0.133392618941752,0.0985848306567022,0.129168964616412,0.0942858229099342,0.0887306759904298
"data","visualization",NA,NA,NA,NA,0.133392618941752,0.155827635554142,0.0986908943136629,0.0988480401475117,0.119363885558554
"analytics","and",NA,NA,NA,NA,0.118571216837113,NA,NA,NA,NA
"deep","learning",NA,NA,NA,NA,0.118571216837113,0.08586420734616,0.18141708513541,0.244838991749991,0.17746135198086
"is","the",NA,NA,NA,NA,0.118571216837113,NA,0.101593567675829,0.096566931528723,0.0977093753466042
"why","i",NA,NA,NA,NA,0.118571216837113,NA,NA,NA,NA
"sprint","4",NA,NA,NA,NA,0.118571216837113,NA,NA,NA,NA
"what","s",NA,NA,NA,NA,0.103749814732474,NA,NA,NA,NA
"is","a",NA,NA,NA,NA,0.103749814732474,0.0985848306567022,0.0696641606919973,0.0615899327072957,NA
"data","in",NA,NA,NA,NA,0.103749814732474,0.0763237398632533,0.078372180778497,0.062350302246892,NA
"in","python",NA,NA,NA,NA,0.103749814732474,0.0826840515185244,0.120460944529912,0.235714557274836,0.255628852258143
"what","do",NA,NA,NA,NA,0.103749814732474,NA,NA,NA,NA
"and","why",NA,NA,NA,NA,0.103749814732474,NA,NA,NA,NA
"business","intelligence",NA,NA,NA,NA,0.0889284126278346,NA,NA,NA,NA
"at","the",NA,NA,NA,NA,0.0889284126278346,NA,NA,NA,NA
"you","can",NA,NA,NA,NA,0.0889284126278346,NA,NA,NA,NA
"data","to",NA,NA,NA,NA,0.0889284126278346,0.0763237398632533,0.0754695074163304,NA,NA
"real","time",NA,NA,NA,NA,0.0889284126278346,NA,NA,NA,NA
"the","new",NA,NA,NA,NA,0.0889284126278346,NA,NA,NA,NA
"the","first",NA,NA,NA,NA,0.0889284126278346,NA,NA,NA,NA
"of","a",NA,NA,NA,NA,0.0889284126278346,NA,0.078372180778497,0.0783180625784131,0.0866180408478005
"data","driven",NA,NA,NA,NA,0.0889284126278346,0.1431070122436,0.114655597805579,0.0851613884347793,0.0702451184924236
"your","data",NA,NA,NA,NA,NA,0.133566544760693,0.116106934486662,0.103410257385089,0.109328868631065
"in","r",NA,NA,NA,NA,NA,0.130386388933058,0.111752924443412,0.106451735543474,0.0950685814183176
"to","do",NA,NA,NA,NA,NA,0.117665765622515,NA,NA,NA
"introduction","to",NA,NA,NA,NA,NA,0.111305453967244,0.153841688194827,0.182488689503099,0.211263514262928
"artificial","intelligence",NA,NA,NA,NA,NA,0.111305453967244,0.156744361556994,0.150553168840056,0.147356301198392
"and","data",NA,NA,NA,NA,NA,0.101764986484338,0.104496241037996,0.1011291487663,0.0961248989896322
"have","to",NA,NA,NA,NA,NA,0.0954046748290666,NA,NA,NA
"you","have",NA,NA,NA,NA,NA,0.0954046748290666,NA,NA,NA
"r","and",NA,NA,NA,NA,NA,0.0954046748290666,NA,NA,NA
"guide","to",NA,NA,NA,NA,NA,0.0890443631737955,0.0711154973730806,0.122419495874995,0.132567855199987
"and","python",NA,NA,NA,NA,NA,0.08586420734616,NA,NA,NA
"open","data",NA,NA,NA,NA,NA,0.0826840515185244,NA,NA,NA
"from","the",NA,NA,NA,NA,NA,0.0826840515185244,0.0711154973730806,0.0600691936281033,NA
"all","you",NA,NA,NA,NA,NA,0.0795038956908889,NA,NA,NA
"python","codes",NA,NA,NA,NA,NA,0.0763237398632533,NA,NA,NA
"you","need",NA,NA,NA,NA,NA,0.0731435840356177,0.0754695074163304,NA,0.0797519766342553
"learning","and",NA,NA,NA,NA,NA,0.0699634282079822,0.0696641606919973,0.0631106717864882,NA
"the","best",NA,NA,NA,NA,NA,0.0699634282079822,NA,NA,0.077639341491626
"need","to",NA,NA,NA,NA,NA,NA,0.0899828742271632,0.0646314108656807,0.0897869935617444
"with","python",NA,NA,NA,NA,NA,NA,0.0870802008649967,0.12546097403338,0.177989510766517
"neural","networks",NA,NA,NA,NA,NA,NA,0.0798235174595803,0.0828802798159906,0.104047280774492
"learning","for",NA,NA,NA,NA,NA,NA,0.078372180778497,NA,NA
"to","know",NA,NA,NA,NA,NA,NA,0.0754695074163304,0.0646314108656807,0.0823927705625419
"the","most",NA,NA,NA,NA,NA,NA,0.0711154973730806,NA,NA
"linear","regression",NA,NA,NA,NA,NA,NA,0.0711154973730806,0.114055430939437,0.109328868631065
"time","series",NA,NA,NA,NA,NA,NA,NA,0.0798388016576056,0.108272551059751
"and","how",NA,NA,NA,NA,NA,NA,NA,0.0699539976428544,NA
"neural","network",NA,NA,NA,NA,NA,NA,NA,0.0684332585636619,NA
"part","3",NA,NA,NA,NA,NA,NA,NA,0.0684332585636619,NA
"to","build",NA,NA,NA,NA,NA,NA,NA,0.0676728890240657,NA
"using","python",NA,NA,NA,NA,NA,NA,NA,0.0676728890240657,0.0992938517035762
"building","a",NA,NA,NA,NA,NA,NA,NA,0.0631106717864882,0.0691888009211089
"to","become",NA,NA,NA,NA,NA,NA,NA,0.062350302246892,NA
"sentiment","analysis",NA,NA,NA,NA,NA,NA,NA,0.0615899327072957,NA
"o","a",NA,NA,NA,NA,NA,NA,NA,NA,0.148940777555364
"o","w",NA,NA,NA,NA,NA,NA,NA,NA,0.147356301198392
"w","n",NA,NA,NA,NA,NA,NA,NA,NA,0.147356301198392
"n","l",NA,NA,NA,NA,NA,NA,NA,NA,0.147356301198392
"l","o",NA,NA,NA,NA,NA,NA,NA,NA,0.147356301198392
"d","o",NA,NA,NA,NA,NA,NA,NA,NA,0.146828142412735
"a","d",NA,NA,NA,NA,NA,NA,NA,NA,0.143131030913134
"analysis","of",NA,NA,NA,NA,NA,NA,NA,NA,0.08080829420557
"in","machine",NA,NA,NA,NA,NA,NA,NA,NA,0.0797519766342553
"exploratory","data",NA,NA,NA,NA,NA,NA,NA,NA,0.0686606421354516
